County,1,2,3,4,5,6,7,8
Carson,"$52,400 ","$59,850 ","$67,350 ","$74,800 ","$80,800 ","$86,800 ","$92,800 ","$98,750 "
Mineral,"$52,400 ","$59,850 ","$67,350 ","$74,800 ","$80,800 ","$86,800 ","$92,800 ","$98,750 "
Nye,"$52,400 ","$59,850 ","$67,350 ","$74,800 ","$80,800 ","$86,800 ","$92,800 ","$98,750 "
Esmeralda,"$58,000 ","$66,250 ","$74,550 ","$82,800 ","$89,450 ","$96,050 ","$102,700 ","$109,300 "
Clark,"$57,150 ","$65,300 ","$73,450 ","$81,600 ","$88,150 ","$94,700 ","$101,200 ","$107,750 "
Humboldt,"$54,600 ","$62,400 ","$70,200 ","$78,000 ","$84,250 ","$90,500 ","$96,750 ","$103,000 "
Lincoln,"$53,400 ","$61,000 ","$68,650 ","$76,250 ","$82,350 ","$88,450 ","$94,550 ","$100,650 "
Lyon,"$53,000 ","$60,600 ","$68,150 ","$75,700 ","$81,800 ","$87,850 ","$93,900 ","$99,950 "
Pershing,"$56,500 ","$64,550 ","$72,600 ","$80,650 ","$87,150 ","$93,600 ","$100,050 ","$106,500 "
Churchill,"$57,050 ","$65,200 ","$73,350 ","$81,500 ","$88,050 ","$94,550 ","$101,100 ","$107,600 "
White Pine,"$58,200 ","$66,500 ","$74,800 ","$83,100 ","$89,750 ","$96,400 ","$103,050 ","$109,700 "
Eureka,"$52,400 ","$59,850 ","$67,350 ","$74,800 ","$80,800 ","$86,800 ","$92,800 ","$98,750 "
Douglas,"$60,950 ","$69,650 ","$78,350 ","$87,050 ","$94,050 ","$101,000 ","$107,950 ","$114,950 "
Reno,"$61,900 ","$70,750 ","$79,600 ","$88,400 ","$95,500 ","$102,550 ","$109,650 ","$116,700 "
Storey,"$61,900 ","$70,750 ","$79,600 ","$88,400 ","$95,500 ","$102,550 ","$109,650 ","$116,700 "
Washoe,"$61,900 ","$70,750 ","$79,600 ","$88,400 ","$95,500 ","$102,550 ","$109,650 ","$116,700 "
Elko,"$61,800 ","$70,600 ","$79,450 ","$88,250 ","$95,350 ","$102,400 ","$109,450 ","$116,500 "
Lander,"$60,300 ","$68,900 ","$77,500 ","$86,100 ","$93,000 ","$99,900 ","$106,800 ","$113,700 "
